"Country or Area","Year(s)","Variant","Value"
"Eastern Europe","2020","Zero migration","293013.231"
"Eastern Europe","2020","Constant mortality","293013.231"
"Eastern Europe","2020","No change","293013.231"
"Eastern Europe","2020","Momentum","293013.231"
"Ecuador","2021","Medium","17888.475"
"Ecuador","2021","High","17884.31"
"Ecuador","2021","Low","17838.815"
"Ecuador","2021","Constant fertility","17871.648"
"Ecuador","2021","Instant replacement","17866.296"
"Ecuador","2021","Zero migration","17891.827"
"Ecuador","2021","Constant mortality","17857.895"
"Ecuador","2021","No change","17867.834"
"Ecuador","2021","Momentum","17880.281"
"Ecuador","2020","Medium","17643.054"
"Ecuador","2020","High","17643.054"
"Ecuador","2020","Low","17643.054"
"Ecuador","2020","Constant fertility","17643.054"
"Ecuador","2020","Instant replacement","17643.054"
"Ecuador","2020","Zero migration","17643.054"
"Ecuador","2020","Constant mortality","17643.054"
"Ecuador","2020","No change","17643.054"
"Ecuador","2020","Momentum","17643.054"
"Egypt","2021","Medium","104258.327"
"Egypt","2021","High","104418.554"
"Egypt","2021","Low","104158.818"
"Egypt","2021","Constant fertility","104389.25"
"Egypt","2021","Instant replacement","103713.302"
"Egypt","2021","Zero migration","104328.494"
"Egypt","2021","Constant mortality","104269.619"
"Egypt","2021","No change","104369.043"
"Egypt","2021","Momentum","103727.874"
"Egypt","2020","Medium","102334.404"
"Egypt","2020","High","102334.404"
"Egypt","2020","Low","102334.404"
"Egypt","2020","Constant fertility","102334.404"
"Egypt","2020","Instant replacement","102334.404"
"Egypt","2020","Zero migration","102334.404"
"Egypt","2020","Constant mortality","102334.404"
"Egypt","2020","No change","102334.404"
"Egypt","2020","Momentum","102334.404"
"El Salvador","2021","Medium","6518.499"
"El Salvador","2021","High","6527.947"
"El Salvador","2021","Low","6509.398"
"El Salvador","2021","Constant fertility","6521.883"
"El Salvador","2021","Instant replacement","6523.363"
"El Salvador","2021","Zero migration","6556.105"
"El Salvador","2021","Constant mortality","6516.94"
"El Salvador","2021","No change","6520.097"
"El Salvador","2021","Momentum","6546.143"
"El Salvador","2020","Medium","6486.205"
"El Salvador","2020","High","6486.205"
"El Salvador","2020","Low","6486.205"
"El Salvador","2020","Constant fertility","6486.205"
"El Salvador","2020","Instant replacement","6486.205"
"El Salvador","2020","Zero migration","6486.205"
"El Salvador","2020","Constant mortality","6486.205"
"El Salvador","2020","No change","6486.205"
"El Salvador","2020","Momentum","6486.205"
"Equatorial Guinea","2021","Medium","1449.896"
"Equatorial Guinea","2021","High","1451.265"
"Equatorial Guinea","2021","Low","1448.323"
"Equatorial Guinea","2021","Constant fertility","1451.981"
"Equatorial Guinea","2021","Instant replacement","1437.072"
"Equatorial Guinea","2021","Zero migration","1436.08"
"Equatorial Guinea","2021","Constant mortality","1449.142"
"Equatorial Guinea","2021","No change","1451.332"
"Equatorial Guinea","2021","Momentum","1428.095"
"Equatorial Guinea","2020","Medium","1402.985"
"Equatorial Guinea","2020","High","1402.985"
"Equatorial Guinea","2020","Low","1402.985"
"Equatorial Guinea","2020","Constant fertility","1402.985"
"Equatorial Guinea","2020","Instant replacement","1402.985"
"Equatorial Guinea","2020","Zero migration","1402.985"
"Equatorial Guinea","2020","Constant mortality","1402.985"
"Equatorial Guinea","2020","No change","1402.985"
"Equatorial Guinea","2020","Momentum","1402.985"
"Eritrea","2021","Medium","3601.467"
"Eritrea","2021","High","3609.755"
"Eritrea","2021","Low","3601.638"
"Eritrea","2021","Constant fertility","3611.18"
"Eritrea","2021","Instant replacement","3572.999"
"Eritrea","2021","Zero migration","3625.698"
"Eritrea","2021","Constant mortality","3604.103"
"Eritrea","2021","No change","3609.553"
"Eritrea","2021","Momentum","3584.129"
"Eritrea","2020","Medium","3546.421"
"Eritrea","2020","High","3546.421"
"Eritrea","2020","Low","3546.421"
"Eritrea","2020","Constant fertility","3546.421"
"Eritrea","2020","Instant replacement","3546.421"
"Eritrea","2020","Zero migration","3546.421"
"Eritrea","2020","Constant mortality","3546.421"
"Eritrea","2020","No change","3546.421"
"Eritrea","2020","Momentum","3546.421"
"Estonia","2021","Medium","1325.185"
"Estonia","2021","High","1324.789"
"Estonia","2021","Low","1321.847"
"Estonia","2021","Constant fertility","1323.046"
"Estonia","2021","Instant replacement","1327.582"
"Estonia","2021","Zero migration","1324.331"
"Estonia","2021","Constant mortality","1322.746"
"Estonia","2021","No change","1322.464"
"Estonia","2021","Momentum","1327.774"
"Estonia","2020","Medium","1326.535"
"Estonia","2020","High","1326.535"
"Estonia","2020","Low","1326.535"
"Estonia","2020","Constant fertility","1326.535"
"Estonia","2020","Instant replacement","1326.535"
"Estonia","2020","Zero migration","1326.535"
"Estonia","2020","Constant mortality","1326.535"
"Estonia","2020","No change","1326.535"
"Estonia","2020","Momentum","1326.535"
"Eswatini","2021","Medium","1172.362"
"Eswatini","2021","High","1174.134"
"Eswatini","2021","Low","1170.963"
"Eswatini","2021","Constant fertility","1173.962"
"Eswatini","2021","Instant replacement","1168.251"
"Eswatini","2021","Zero migration","1178.574"
"Eswatini","2021","Constant mortality","1171.941"
"Eswatini","2021","No change","1173.343"
"Eswatini","2021","Momentum","1172.015"
"Eswatini","2020","Medium","1160.164"
"Eswatini","2020","High","1160.164"
"Eswatini","2020","Low","1160.164"
"Eswatini","2020","Constant fertility","1160.164"
"Eswatini","2020","Instant replacement","1160.164"
"Eswatini","2020","Zero migration","1160.164"
"Eswatini","2020","Constant mortality","1160.164"
"Eswatini","2020","No change","1160.164"
"Eswatini","2020","Momentum","1160.164"
"Ethiopia","2021","Medium","117876.227"
"Ethiopia","2021","High","117999.726"
"Ethiopia","2021","Low","117736.357"
"Ethiopia","2021","Constant fertility","118103.596"
"Ethiopia","2021","Instant replacement","116864.451"
"Ethiopia","2021","Zero migration","117881.227"
"Ethiopia","2021","Constant mortality","117814.68"
"Ethiopia","2021","No change","118049.853"
"Ethiopia","2021","Momentum","116852.599"
"Ethiopia","2020","Medium","114963.588"
"Ethiopia","2020","High","114963.588"
"Ethiopia","2020","Low","114963.588"
"Ethiopia","2020","Constant fertility","114963.588"
"Ethiopia","2020","Instant replacement","114963.588"
"Ethiopia","2020","Zero migration","114963.588"
"Ethiopia","2020","Constant mortality","114963.588"
"Ethiopia","2020","No change","114963.588"
"Ethiopia","2020","Momentum","114963.588"
"Europe","2021","Medium","747747.4"
"Europe","2021","High","748324.746"
"Europe","2021","Low","746743.595"
"Europe","2021","Constant fertility","747516.535"
"Europe","2021","Instant replacement","749083.231"
"Europe","2021","Zero migration","746760.601"
"Europe","2021","Constant mortality","747292.182"
"Europe","2021","No change","747272.857"
"Europe","2021","Momentum","748335.994"
"Europe","2020","Medium","747636.026"
"Europe","2020","High","747636.026"
"Europe","2020","Low","747636.026"
"Europe","2020","Constant fertility","747636.026"
"Europe","2020","Instant replacement","747636.026"
"Europe","2020","Zero migration","747636.026"
"Europe","2020","Constant mortality","747636.026"
"Europe","2020","No change","747636.026"
"Europe","2020","Momentum","747636.026"
"Europe","2021","Medium","747747.4"
"Europe","2021","High","748324.746"
"Europe","2021","Low","746743.595"
"Europe","2021","Constant fertility","747516.535"
"Europe","2021","Instant replacement","749083.231"
"Europe","2021","Zero migration","746760.601"
"Europe","2021","Constant mortality","747292.182"
"Europe","2021","No change","747272.857"
"Europe","2021","Momentum","748335.994"
"Europe","2020","Medium","747636.026"
"Europe","2020","High","747636.026"
"Europe","2020","Low","747636.026"
"Europe","2020","Constant fertility","747636.026"
"Europe","2020","Instant replacement","747636.026"
"Europe","2020","Zero migration","747636.026"
"Europe","2020","Constant mortality","747636.026"
"Europe","2020","No change","747636.026"
"Europe","2020","Momentum","747636.026"
"Europe and Northern America","2021","Medium","1118855.109"
"Europe and Northern America","2021","High","1119778.433"
"Europe and Northern America","2021","Low","1117397.513"
"Europe and Northern America","2021","Constant fertility","1118571.954"
"Europe and Northern America","2021","Instant replacement","1120728.369"
"Europe and Northern America","2021","Zero migration","1116667.669"
"Europe and Northern America","2021","Constant mortality","1118315.065"
"Europe and Northern America","2021","No change","1118296.224"
"Europe and Northern America","2021","Momentum","1119152.546"
"Europe and Northern America","2020","Medium","1116505.673"
"Europe and Northern America","2020","High","1116505.673"
"Europe and Northern America","2020","Low","1116505.673"
"Europe and Northern America","2020","Constant fertility","1116505.673"
"Europe and Northern America","2020","Instant replacement","1116505.673"
"Europe and Northern America","2020","Zero migration","1116505.673"
"Europe and Northern America","2020","Constant mortality","1116505.673"
"Europe and Northern America","2020","No change","1116505.673"
"Europe and Northern America","2020","Momentum","1116505.673"
"Falkland Islands (Malvinas)","2021","Medium","3.533"
"Falkland Islands (Malvinas)","2021","High","3.478"
"Falkland Islands (Malvinas)","2021","Low","3.472"
"Falkland Islands (Malvinas)","2021","Constant fertility","3.475"
"Falkland Islands (Malvinas)","2021","Instant replacement","3.537"
"Falkland Islands (Malvinas)","2021","Zero migration","3.475"
"Falkland Islands (Malvinas)","2021","Constant mortality","3.473"
"Falkland Islands (Malvinas)","2021","No change","3.473"
"Falkland Islands (Malvinas)","2021","Momentum","3.538"
"Falkland Islands (Malvinas)","2020","Medium","3.48"
"Falkland Islands (Malvinas)","2020","High","3.48"
"Falkland Islands (Malvinas)","2020","Low","3.48"
"Falkland Islands (Malvinas)","2020","Constant fertility","3.48"
"Falkland Islands (Malvinas)","2020","Instant replacement","3.48"
"Falkland Islands (Malvinas)","2020","Zero migration","3.48"
"Falkland Islands (Malvinas)","2020","Constant mortality","3.48"
"Falkland Islands (Malvinas)","2020","No change","3.48"
"Falkland Islands (Malvinas)","2020","Momentum","3.48"
"Faroe Islands","2021","Medium","49.049"
"Faroe Islands","2021","High","49.066"
"Faroe Islands","2021","Low","48.992"
"Faroe Islands","2021","Constant fertility","49.041"
"Faroe Islands","2021","Instant replacement","48.992"
"Faroe Islands","2021","Zero migration","49.03"
"Faroe Islands","2021","Constant mortality","49.009"
"Faroe Islands","2021","No change","49.019"
"Faroe Islands","2021","Momentum","48.979"
"Faroe Islands","2020","Medium","48.863"
"Faroe Islands","2020","High","48.863"
"Faroe Islands","2020","Low","48.863"
"Faroe Islands","2020","Constant fertility","48.863"
"Faroe Islands","2020","Instant replacement","48.863"
"Faroe Islands","2020","Zero migration","48.863"
"Faroe Islands","2020","Constant mortality","48.863"
"Faroe Islands","2020","No change","48.863"
"Faroe Islands","2020","Momentum","48.863"
"Fiji","2021","Medium","902.906"
"Fiji","2021","High","903.708"
"Fiji","2021","Low","901.543"
"Fiji","2021","Constant fertility","903.159"
"Fiji","2021","Instant replacement","900.69"
"Fiji","2021","Zero migration","907.303"
"Fiji","2021","Constant mortality","902.5"
"Fiji","2021","No change","903.026"
"Fiji","2021","Momentum","903.222"
"Fiji","2020","Medium","896.445"
"Fiji","2020","High","896.445"
"Fiji","2020","Low","896.445"
"Fiji","2020","Constant fertility","896.445"
"Fiji","2020","Instant replacement","896.445"
"Fiji","2020","Zero migration","896.445"
"Fiji","2020","Constant mortality","896.445"
"Fiji","2020","No change","896.445"
"Fiji","2020","Momentum","896.445"
"Finland","2021","Medium","5548.36"
"Finland","2021","High","5553.333"
"Finland","2021","Low","5542.135"
"Finland","2021","Constant fertility","5551.3"
"Finland","2021","Instant replacement","5562.576"
"Finland","2021","Zero migration","5533.605"
"Finland","2021","Constant mortality","5545.402"
"Finland","2021","No change","5548.948"
"Finland","2021","Momentum","5550.886"
"Finland","2020","Medium","5540.72"
"Finland","2020","High","5540.72"
"Finland","2020","Low","5540.72"
"Finland","2020","Constant fertility","5540.72"
"Finland","2020","Instant replacement","5540.72"
"Finland","2020","Zero migration","5540.72"
"Finland","2020","Constant mortality","5540.72"
"Finland","2020","No change","5540.72"
"Finland","2020","Momentum","5540.72"
"France","2021","Medium","65426.179"
"France","2021","High","65504.834"
"France","2021","Low","65374.697"
"France","2021","Constant fertility","65440.79"
"France","2021","Instant replacement","65480.973"
"France","2021","Zero migration","65376.938"
"France","2021","Constant mortality","65418.403"
"France","2021","No change","65419.27"
"France","2021","Momentum","65419.384"
"France","2020","Medium","65273.511"
"France","2020","High","65273.511"
"France","2020","Low","65273.511"
"France","2020","Constant fertility","65273.511"
"France","2020","Instant replacement","65273.511"
"France","2020","Zero migration","65273.511"
"France","2020","Constant mortality","65273.511"
"France","2020","No change","65273.511"
"France","2020","Momentum","65273.511"
"French Guiana","2021","Medium","306.448"
"French Guiana","2021","High","306.683"
"French Guiana","2021","Low","305.975"
"French Guiana","2021","Constant fertility","306.562"
"French Guiana","2021","Instant replacement","304.727"
"French Guiana","2021","Zero migration","305.103"
"French Guiana","2021","Constant mortality","306.286"
"French Guiana","2021","No change","306.519"
"French Guiana","2021","Momentum","303.873"
"French Guiana","2020","Medium","298.682"
"French Guiana","2020","High","298.682"
"French Guiana","2020","Low","298.682"
"French Guiana","2020","Constant fertility","298.682"
"French Guiana","2020","Instant replacement","298.682"
"French Guiana","2020","Zero migration","298.682"
"French Guiana","2020","Constant mortality","298.682"
"French Guiana","2020","No change","298.682"
"French Guiana","2020","Momentum","298.682"
"French Polynesia","2021","Medium","282.53"
"French Polynesia","2021","High","282.847"
"French Polynesia","2021","Low","282.173"
"French Polynesia","2021","Constant fertility","282.598"
"French Polynesia","2021","Instant replacement","282.767"
"French Polynesia","2021","Zero migration","283.203"
"French Polynesia","2021","Constant mortality","282.44"
"French Polynesia","2021","No change","282.528"
"French Polynesia","2021","Momentum","283.094"
"French Polynesia","2020","Medium","280.908"
"French Polynesia","2020","High","280.908"
"French Polynesia","2020","Low","280.908"
"French Polynesia","2020","Constant fertility","280.908"
"French Polynesia","2020","Instant replacement","280.908"
"French Polynesia","2020","Zero migration","280.908"
"French Polynesia","2020","Constant mortality","280.908"
"French Polynesia","2020","No change","280.908"
"French Polynesia","2020","Momentum","280.908"
"Gabon","2021","Medium","2278.825"
"Gabon","2021","High","2281.666"
"Gabon","2021","Low","2276.189"
"Gabon","2021","Constant fertility","2281.867"
"Gabon","2021","Instant replacement","2261.136"
"Gabon","2021","Zero migration","2277.918"
"Gabon","2021","Constant mortality","2278.354"
"Gabon","2021","No change","2281.285"
"Gabon","2021","Momentum","2260.238"
"Gabon","2020","Medium","2225.734"
"Gabon","2020","High","2225.734"
"Gabon","2020","Low","2225.734"
"Gabon","2020","Constant fertility","2225.734"
"Gabon","2020","Instant replacement","2225.734"
"Gabon","2020","Zero migration","2225.734"
"Gabon","2020","Constant mortality","2225.734"
"Gabon","2020","No change","2225.734"
"Gabon","2020","Momentum","2225.734"
"Gambia","2021","Medium","2486.945"
"Gambia","2021","High","2489.638"
"Gambia","2021","Low","2484.282"
"Gambia","2021","Constant fertility","2490.25"
"Gambia","2021","Instant replacement","2455.461"
"Gambia","2021","Zero migration","2490.026"
"Gambia","2021","Constant mortality","2485.701"
"Gambia","2021","No change","2488.984"
"Gambia","2021","Momentum","2457.048"
"Gambia","2020","Medium","2416.668"
"Gambia","2020","High","2416.668"
"Gambia","2020","Low","2416.668"
"Gambia","2020","Constant fertility","2416.668"
"Gambia","2020","Instant replacement","2416.668"
"Gambia","2020","Zero migration","2416.668"
"Gambia","2020","Constant mortality","2416.668"
"Gambia","2020","No change","2416.668"
"Gambia","2020","Momentum","2416.668"
"Georgia","2021","Medium","3979.765"
"Georgia","2021","High","3983.428"
"Georgia","2021","Low","3974.863"
"Georgia","2021","Constant fertility","3979.937"
"Georgia","2021","Instant replacement","3980.833"
"Georgia","2021","Zero migration","3989.252"
"Georgia","2021","Constant mortality","3977.734"
"Georgia","2021","No change","3978.505"
"Georgia","2021","Momentum","3986.539"
"Georgia","2020","Medium","3989.167"
"Georgia","2020","High","3989.167"
"Georgia","2020","Low","3989.167"
"Georgia","2020","Constant fertility","3989.167"
"Georgia","2020","Instant replacement","3989.167"
"Georgia","2020","Zero migration","3989.167"
"Georgia","2020","Constant mortality","3989.167"
"Georgia","2020","No change","3989.167"
"Georgia","2020","Momentum","3989.167"
"Germany","2021","Medium","83900.473"
"Germany","2021","High","83821.223"
"Germany","2021","Low","83657.231"
"Germany","2021","Constant fertility","83730.257"
"Germany","2021","Instant replacement","84048.366"
"Germany","2021","Zero migration","83595.254"
"Germany","2021","Constant mortality","83729.318"
"Germany","2021","No change","83720.25"
"Germany","2021","Momentum","83932.162"
"Germany","2020","Medium","83783.942"
"Germany","2020","High","83783.942"
"Germany","2020","Low","83783.942"
"Germany","2020","Constant fertility","83783.942"
"Germany","2020","Instant replacement","83783.942"
"Germany","2020","Zero migration","83783.942"
"Germany","2020","Constant mortality","83783.942"
"Germany","2020","No change","83783.942"
"Germany","2020","Momentum","83783.942"
"Ghana","2021","Medium","31732.129"
"Ghana","2021","High","31768.409"
"Ghana","2021","Low","31696.194"
"Ghana","2021","Constant fertility","31765.638"
"Ghana","2021","Instant replacement","31512.995"
"Ghana","2021","Zero migration","31742.635"
"Ghana","2021","Constant mortality","31721.744"
"Ghana","2021","No change","31754.935"
"Ghana","2021","Momentum","31515.856"
"Ghana","2020","Medium","31072.94"
"Ghana","2020","High","31072.94"
"Ghana","2020","Low","31072.94"
"Ghana","2020","Constant fertility","31072.94"
"Ghana","2020","Instant replacement","31072.94"
"Ghana","2020","Zero migration","31072.94"
"Ghana","2020","Constant mortality","31072.94"
"Ghana","2020","No change","31072.94"
"Ghana","2020","Momentum","31072.94"
"Gibraltar","2021","Medium","33.698"
"Gibraltar","2021","High","33.732"
"Gibraltar","2021","Low","33.666"
"Gibraltar","2021","Constant fertility","33.707"
"Gibraltar","2021","Instant replacement","33.732"
"Gibraltar","2021","Zero migration","33.762"
"Gibraltar","2021","Constant mortality","33.684"
"Gibraltar","2021","No change","33.692"
"Gibraltar","2021","Momentum","33.758"
"Gibraltar","2020","Medium","33.691"
"Gibraltar","2020","High","33.691"
"Gibraltar","2020","Low","33.691"
"Gibraltar","2020","Constant fertility","33.691"
"Gibraltar","2020","Instant replacement","33.691"
"Gibraltar","2020","Zero migration","33.691"
"Gibraltar","2020","Constant mortality","33.691"
"Gibraltar","2020","No change","33.691"
"Gibraltar","2020","Momentum","33.691"
"Greece","2021","Medium","10370.744"
"Greece","2021","High","10377.151"
"Greece","2021","Low","10356.587"
"Greece","2021","Constant fertility","10368.564"
"Greece","2021","Instant replacement","10401.294"
"Greece","2021","Zero migration","10381.956"
"Greece","2021","Constant mortality","10361.349"
"Greece","2021","No change","10363.04"
"Greece","2021","Momentum","10403.959"
"Greece","2020","Medium","10423.054"
"Greece","2020","High","10423.054"
"Greece","2020","Low","10423.054"
"Greece","2020","Constant fertility","10423.054"
"Greece","2020","Instant replacement","10423.054"
"Greece","2020","Zero migration","10423.054"
"Greece","2020","Constant mortality","10423.054"
"Greece","2020","No change","10423.054"
"Greece","2020","Momentum","10423.054"
"Greenland","2021","Medium","56.877"
"Greenland","2021","High","56.966"
"Greenland","2021","Low","56.83"
"Greenland","2021","Constant fertility","56.919"
"Greenland","2021","Instant replacement","56.93"
"Greenland","2021","Zero migration","57.006"
"Greenland","2021","Constant mortality","56.888"
"Greenland","2021","No change","56.908"
"Greenland","2021","Momentum","56.992"
"Greenland","2020","Medium","56.77"
"Greenland","2020","High","56.77"
"Greenland","2020","Low","56.77"
"Greenland","2020","Constant fertility","56.77"
"Greenland","2020","Instant replacement","56.77"
"Greenland","2020","Zero migration","56.77"
"Greenland","2020","Constant mortality","56.77"
"Greenland","2020","No change","56.77"
"Greenland","2020","Momentum","56.77"
"Grenada","2021","Medium","113.021"
"Grenada","2021","High","113.192"
"Grenada","2021","Low","112.89"
"Grenada","2021","Constant fertility","113.095"
"Grenada","2021","Instant replacement","113.086"
"Grenada","2021","Zero migration","113.249"
"Grenada","2021","Constant mortality","113.045"
"Grenada","2021","No change","113.102"
"Grenada","2021","Momentum","113.227"
"Grenada","2020","Medium","112.523"
"Grenada","2020","High","112.523"
"Grenada","2020","Low","112.523"
"Grenada","2020","Constant fertility","112.523"
"Grenada","2020","Instant replacement","112.523"
"Grenada","2020","Zero migration","112.523"
"Grenada","2020","Constant mortality","112.523"
"Grenada","2020","No change","112.523"
"Grenada","2020","Momentum","112.523"
"Guadeloupe","2021","Medium","400.02"
"Guadeloupe","2021","High","399.935"
"Guadeloupe","2021","Low","399.293"
"Guadeloupe","2021","Constant fertility","399.721"
"Guadeloupe","2021","Instant replacement","399.955"
"Guadeloupe","2021","Zero migration","401.133"
"Guadeloupe","2021","Constant mortality","399.465"
"Guadeloupe","2021","No change","399.568"
"Guadeloupe","2021","Momentum","400.708"
"Guadeloupe","2020","Medium","400.124"
"Guadeloupe","2020","High","400.124"
"Guadeloupe","2020","Low","400.124"
"Guadeloupe","2020","Constant fertility","400.124"
"Guadeloupe","2020","Instant replacement","400.124"
"Guadeloupe","2020","Zero migration","400.124"
"Guadeloupe","2020","Constant mortality","400.124"
"Guadeloupe","2020","No change","400.124"
"Guadeloupe","2020","Momentum","400.124"
"Guam","2021","Medium","170.179"
"Guam","2021","High","170.311"
"Guam","2021","Low","169.929"
"Guam","2021","Constant fertility","170.176"
"Guam","2021","Instant replacement","170.041"
"Guam","2021","Zero migration","170.629"
"Guam","2021","Constant mortality","170.073"
"Guam","2021","No change","170.127"
"Guam","2021","Momentum","170.347"
"Guam","2020","Medium","168.775"
"Guam","2020","High","168.775"
"Guam","2020","Low","168.775"
"Guam","2020","Constant fertility","168.775"
"Guam","2020","Instant replacement","168.775"
"Guam","2020","Zero migration","168.775"
"Guam","2020","Constant mortality","168.775"
"Guam","2020","No change","168.775"
"Guam","2020","Momentum","168.775"
"Guatemala","2021","Medium","18249.86"
"Guatemala","2021","High","18273.454"
"Guatemala","2021","Low","18225.981"
"Guatemala","2021","Constant fertility","18270.717"
"Guatemala","2021","Instant replacement","18190.435"
"Guatemala","2021","Zero migration","18259.164"
"Guatemala","2021","Constant mortality","18245.955"
"Guatemala","2021","No change","18266.834"
"Guatemala","2021","Momentum","18194.455"
"Guatemala","2020","Medium","17915.568"
"Guatemala","2020","High","17915.568"
"Guatemala","2020","Low","17915.568"
"Guatemala","2020","Constant fertility","17915.568"
"Guatemala","2020","Instant replacement","17915.568"
"Guatemala","2020","Zero migration","17915.568"
"Guatemala","2020","Constant mortality","17915.568"
"Guatemala","2020","No change","17915.568"
"Guatemala","2020","Momentum","17915.568"
"Guinea","2021","Medium","13497.244"
"Guinea","2021","High","13508.506"
"Guinea","2021","Low","13478.317"
"Guinea","2021","Constant fertility","13514.063"
"Guinea","2021","Instant replacement","13354.7"
"Guinea","2021","Zero migration","13497.563"
"Guinea","2021","Constant mortality","13487.326"
"Guinea","2021","No change","13507.966"
"Guinea","2021","Momentum","13355.47"
"Guinea","2020","Medium","13132.795"
"Guinea","2020","High","13132.795"
"Guinea","2020","Low","13132.795"
"Guinea","2020","Constant fertility","13132.795"
"Guinea","2020","Instant replacement","13132.795"
"Guinea","2020","Zero migration","13132.795"
"Guinea","2020","Constant mortality","13132.795"
"Guinea","2020","No change","13132.795"
"Guinea","2020","Momentum","13132.795"
"Guinea-Bissau","2021","Medium","2015.494"
"Guinea-Bissau","2021","High","2017.749"
"Guinea-Bissau","2021","Low","2013.146"
"Guinea-Bissau","2021","Constant fertility","2018.477"
"Guinea-Bissau","2021","Instant replacement","1996.797"
"Guinea-Bissau","2021","Zero migration","2016.876"
"Guinea-Bissau","2021","Constant mortality","2014.493"
"Guinea-Bissau","2021","No change","2017.515"
"Guinea-Bissau","2021","Momentum","1997.353"
"Guinea-Bissau","2020","Medium","1968.001"
"Guinea-Bissau","2020","High","1968.001"
"Guinea-Bissau","2020","Low","1968.001"
"Guinea-Bissau","2020","Constant fertility","1968.001"
"Guinea-Bissau","2020","Instant replacement","1968.001"
"Guinea-Bissau","2020","Zero migration","1968.001"
"Guinea-Bissau","2020","Constant mortality","1968.001"
"Guinea-Bissau","2020","No change","1968.001"
"Guinea-Bissau","2020","Momentum","1968.001"
"Guyana","2021","Medium","790.326"
"Guyana","2021","High","791.083"
"Guyana","2021","Low","789.101"
"Guyana","2021","Constant fertility","790.474"
"Guyana","2021","Instant replacement","789.431"
"Guyana","2021","Zero migration","795.889"
"Guyana","2021","Constant mortality","790.005"
"Guyana","2021","No change","790.375"
"Guyana","2021","Momentum","793.03"
"Guyana","2020","Medium","786.552"
"Guyana","2020","High","786.552"
"Guyana","2020","Low","786.552"
"Guyana","2020","Constant fertility","786.552"
"Guyana","2020","Instant replacement","786.552"
"Guyana","2020","Zero migration","786.552"
"Guyana","2020","Constant mortality","786.552"
"Guyana","2020","No change","786.552"
"Guyana","2020","Momentum","786.552"
"Haiti","2021","Medium","11541.685"
"Haiti","2021","High","11558.466"
"Haiti","2021","Low","11529.722"
"Haiti","2021","Constant fertility","11556.003"
"Haiti","2021","Instant replacement","11514.749"
"Haiti","2021","Zero migration","11576.375"
"Haiti","2021","Constant mortality","11539.953"
"Haiti","2021","No change","11551.815"
"Haiti","2021","Momentum","11535.704"
"Haiti","2020","Medium","11402.528"
"Haiti","2020","High","11402.528"
"Haiti","2020","Low","11402.528"
"Haiti","2020","Constant fertility","11402.528"
"Haiti","2020","Instant replacement","11402.528"
"Haiti","2020","Zero migration","11402.528"
"Haiti","2020","Constant mortality","11402.528"
"Haiti","2020","No change","11402.528"
"Haiti","2020","Momentum","11402.528"
"High-income countries","2021","Medium","1267675.27"
"High-income countries","2021","High","1268623.019"
"High-income countries","2021","Low","1265963.833"
"High-income countries","2021","Constant fertility","1267358.02"
"High-income countries","2021","Instant replacement","1269850.327"
"High-income countries","2021","Zero migration","1265012.73"
"High-income countries","2021","Constant mortality","1266997.479"
"High-income countries","2021","No change","1267059.095"
"High-income countries","2021","Momentum","1267994.12"
"High-income countries","2020","Medium","1263092.909"
"High-income countries","2020","High","1263092.909"
"High-income countries","2020","Low","1263092.909"
"High-income countries","2020","Constant fertility","1263092.909"
"High-income countries","2020","Instant replacement","1263092.909"
"High-income countries","2020","Zero migration","1263092.909"
"High-income countries","2020","Constant mortality","1263092.909"
"High-income countries","2020","No change","1263092.909"
"High-income countries","2020","Momentum","1263092.909"
"Holy See","2021","Medium","0.8"
"Holy See","2021","High","0.8"
"Holy See","2021","Low","0.799"
"Holy See","2021","Constant fertility","0.8"
"Holy See","2021","Instant replacement","0.802"
"Holy See","2021","Zero migration","0.785"
"Holy See","2021","Constant mortality","0.8"
"Holy See","2021","No change","0.8"
"Holy See","2021","Momentum","0.793"
"Holy See","2020","Medium","0.801"
"Holy See","2020","High","0.801"
"Holy See","2020","Low","0.801"
"Holy See","2020","Constant fertility","0.801"
"Holy See","2020","Instant replacement","0.801"
"Holy See","2020","Zero migration","0.801"
"Holy See","2020","Constant mortality","0.801"
"Holy See","2020","No change","0.801"
"Holy See","2020","Momentum","0.801"
"Honduras","2021","Medium","10062.991"
"Honduras","2021","High","10076.502"
"Honduras","2021","Low","10049.358"
"Honduras","2021","Constant fertility","10071.796"
"Honduras","2021","Instant replacement","10050.674"
"Honduras","2021","Zero migration","10069.273"
"Honduras","2021","Constant mortality","10061.457"
"Honduras","2021","No change","10070.242"
"Honduras","2021","Momentum","10053.509"
"Honduras","2020","Medium","9904.607"
"Honduras","2020","High","9904.607"
"Honduras","2020","Low","9904.607"
"Honduras","2020","Constant fertility","9904.607"
"Honduras","2020","Instant replacement","9904.607"
"Honduras","2020","Zero migration","9904.607"
"Honduras","2020","Constant mortality","9904.607"
"Honduras","2020","No change","9904.607"
"Honduras","2020","Momentum","9904.607"
"Hungary","2021","Medium","9634.164"
"Hungary","2021","High","9643.086"
"Hungary","2021","Low","9623.335"
"Hungary","2021","Constant fertility","9631.428"
"Hungary","2021","Instant replacement","9654.847"
"Hungary","2021","Zero migration","9627.141"
"Hungary","2021","Constant mortality","9629.224"
"Hungary","2021","No change","9627.427"
"Hungary","2021","Momentum","9647.216"
"Hungary","2020","Medium","9660.351"
